Far field
"Theta"[deg]	"FarField1 [m^2]"	
7.20000000E+01	6.87783307E-06	
7.30000000E+01	6.14320716E-06	
7.40000000E+01	5.44861931E-06	
7.50000000E+01	4.79444160E-06	
7.60000000E+01	4.18101484E-06	
7.70000000E+01	3.60865010E-06	
7.80000000E+01	3.07763016E-06	
7.90000000E+01	2.58821091E-06	
8.00000000E+01	2.14062263E-06	
8.10000000E+01	1.73507128E-06	
8.20000000E+01	1.37173959E-06	
8.30000000E+01	1.05078815E-06	
8.40000000E+01	7.72356345E-07	
8.50000000E+01	5.36563222E-07	
8.60000000E+01	3.43508229E-07	
8.70000000E+01	1.93271854E-07	
8.80000000E+01	8.59161506E-08	
8.90000000E+01	2.14851488E-08	
9.00000000E+01	5.15052512E-12	
